POLITEKNIK NEGERI PADANG,,,,,,,,,
JURUSAN BAHASA INGGRIS,,,,,,,,,
JADWAL SIDANG TUGAS AKHIR,,,,,,,,,

No,Mahasiswa,NIM,Ketua,Sekretaris,Anggota I,Anggota II,Hari/Tanggal,Pukul,Ruangan
1,Mario O'Kon,2101931255,"Dr. Sabriandi Erdian, S.S., M.Hum","Dra. Rina Anggraini, M.Pd","Hendro Saptopramono, SS, M.Ed","Dr. Ahmad Fauzi, M.Kom","Jumat, 12 Desember 2025",07:00 - 09:00,a
2,Jesus Boyer,2101455087,"Nini Wahyuni, S.Pd., M.Pd","Dony Marzuki, S.S., M.Ed., Ph.D","Mutia El Khairat, SS., M.Hum","Dra. Martini, M.Pd.","Jumat, 12 Desember 2025",07:00 - 09:00,b
3,Darryl Schiller,2101968437,"Dra. Kotrini, M.Pd","Hasbi, SS.,M.Ed.M","Yaningsih, S.S., M.Hum.","Dr. Difiani Apriyanti, SS., M.Pd","Jumat, 12 Desember 2025",07:00 - 09:00,c
4,Wallace Nitzsche,2101901268,"Titin Ritmi,, SS, M.Hum","Dra. Martini, M.Pd.","Novi Fitria, S.S., M.Pd.","Yaningsih, S.S., M.Hum.","Jumat, 12 Desember 2025",09:30 - 11:30,a
5,Pamela Monahan,2101244715,"Dr. Ahmad Fauzi, M.Kom","Sariani, SS., MA Appl Ling","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Gema Febriansyah, M.Hum","Jumat, 12 Desember 2025",09:30 - 11:30,b
6,Diane O'Hara,2101995273,"Nini Wahyuni, S.Pd., M.Pd","Sumira, S.Pd., M.Pd","Dra. Kotrini, M.Pd","Hendro Saptopramono, SS, M.Ed","Jumat, 12 Desember 2025",09:30 - 11:30,c
7,Clifford Schmidt Jr.,2101434796,"Sariani, SS., MA Appl Ling","Dra. Kotrini, M.Pd","Dra. Martini, M.Pd.","Yaningsih, S.S., M.Hum.","Jumat, 12 Desember 2025",13:00 - 15:00,a
8,Mr. Corey Pfeffer,2101438933,"Silvia Djonnaidi, SS., M.Hum","Dr. Difiani Apriyanti, SS., M.Pd","Dr. Ahmad Fauzi, M.Kom","Dony Marzuki, S.S., M.Ed., Ph.D","Jumat, 12 Desember 2025",13:00 - 15:00,b
9,Rose Baumbach,2101778919,"Gema Febriansyah, M.Hum","Desi Yulastri, M.EIL","Dr. Siti Aminah, M.T","Fithratul Miladiyenti, S.S., M.Hum.","Jumat, 12 Desember 2025",13:00 - 15:00,c
10,Marco Rath,2101260156,"Desi Yulastri, M.EIL","Witri Handayani, SS., M.Pd","Dr. Siti Aminah, M.T","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Sabtu, 13 Desember 2025",08:00 - 10:00,a
